INSTNM,STABBR,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MD_EARN_WNE_1YR,MD_EARN_WNE_5YR,FTFTPCTPELL,FTFTPCTFLOAN,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CONTROL,CONTROL_PEPS,GRAD_DEBT_MDN10YR_SUPP
Charlotte Technical College,FL,0,0,0,0,0,0,0,313,14868,NA,3100,12100,PS,PS,PS,PS,33700,36349,29968,36691,0.8051,0,NA,NA,5500,1,Public,PS
Chipola College,FL,0,0,0,0,0,0,0,1246,9256,NA,3120,8950,PS,PS,PS,PS,33600,37378,38779,44874,0.493,0,4560,2935,4348,1,Public,PS
Lorenzo Walker Technical College,FL,0,0,0,0,0,0,0,675,NA,15197,NA,NA,PS,PS,PS,PS,28700,36853,34276,34997,0.2035,0,NA,NA,NA,1,Public,PS
Daytona State College,FL,0,0,0,0,0,0,0,8884,10618,NA,3106,11994,5750,5313,5500,5500,32700,37096,39145,44480,0.5523,0.1393,NA,NA,2324,1,Public,87.46373019
South University-West Palm Beach,FL,0,0,0,0,0,0,0,303,25718,NA,17014,17014,12643,15278,14700,13000,40200,34421,55439,59826,0.8,0.6,NA,NA,5054,3,Proprietary,276.9472756
Eckerd College,FL,0,0,0,0,0,0,0,1986,65354,NA,48900,48900,19000,23167,19500,19500,46700,51819,27000,47071,0.2127,0.5373,13854,3100,2506,2,Private Nonprofit,286.2449352
Florida SouthWestern State College,FL,0,0,0,0,0,1,0,10623,14008,NA,3401,12979,5250,4971,4500,5000,38200,43421,39162,50193,0.5834,0.1432,10044,3271,4594,1,Public,84.81331412
Edward Waters University,FL,1,0,0,0,0,0,0,1142,26598,NA,14878,14878,11686,9875,7500,11000,28700,34782,NA,44939,0.8154,0.7508,8010,4276,4276,2,Private Nonprofit,PS
Embry-Riddle Aeronautical University-Daytona Beach,FL,0,0,0,0,0,0,0,7155,57754,NA,40564,40564,15000,13000,14750,14250,70300,84131,67135,89839,0.2259,0.4719,12874,5134,5134,2,Private Nonprofit,250.8989865
Florida Agricultural and Mechanical University,FL,1,0,0,0,0,0,0,7436,23985,NA,5785,17725,18500,17500,17000,17855,44700,44349,34146,49457,0.5698,0.4223,11644,5586,6550,1,Public,249.6479901
