Rank,Title,Studio,Female-lead,Passes Bechdel Test,POC-lead,Budget ($ millions),Total Gross ($ millions),Domestic ($ millions),Overseas ($ millions),Year
88,Wonder Woman,WB,TRUE,TRUE,FALSE,150,822.9,412.8,410.0,2017
89,"Ni Hao, Li Huanying",Beijing Jingxi Culture & Tourism Co.,TRUE,TRUE,TRUE,59,822.0,0.0,822.0,2021
90,Independence Day,Fox,FALSE,TRUE,TRUE,75,817.4,306.2,511.2,1996
91,Fantastic Beasts and Where To Find Them,WB,FALSE,TRUE,FALSE,180,814.0,234.0,580.0,2016
92,Shrek the Third,Paramount,FALSE,TRUE,FALSE,160,813.4,322.7,490.7,2007
93,Coco,Disney,FALSE,TRUE,TRUE,175,807.8,210.5,597.4,2017
94,Jumanji: The Next Level,Sony,FALSE,FALSE,TRUE,125,800.1,320.3,479.7,2019
95,Harry Potter and the Prisoner of Azkaban,WB,FALSE,TRUE,FALSE,130,797.6,250.1,547.5,2004
96,Pirates of the Caribbean: Dead Men Tell No Tales,Disney,FALSE,FALSE,FALSE,230,794.9,172.6,622.3,2017
97,E.T.: The Extra-Terrestrial,Universal,FALSE,TRUE,FALSE,10.5,792.9,435.1,304.2,1982
98,Mission: Impossible - Fallout,Paramount,FALSE,FALSE,FALSE,178,791.7,220.2,571.5,2018
99,2012,Sony,FALSE,FALSE,FALSE,200,791.2,166.1,625.1,2009
100,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,FALSE,FALSE,FALSE,185,790.7,317.1,473.6,2008
