CountryID,Country Name,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
108,Mauritania,Sub-Saharan Africa,128,23,56.1,26.0,23.9,21.0,74.3,88.4,93.3,59.1,52.8,80.0,63.8,50,40,8.1,40.0,25.0,18.7,19.7,4.5,$25,5.9,3.6,"$5,412",9.6,2.3,885,57.7
109,Mauritius,Sub-Saharan Africa,13,1,77.0,78.4,73.6,55.0,91.6,78.0,73.5,83.7,74.6,77.4,88.0,80,70,1.0,15.0,15.0,19.8,27.1,1.3,$32,3.5,3.7,"$23,942",6.7,0.5,472,62.5
110,Mexico,Americas,65,11,65.5,53.4,35.9,39.8,76.1,79.8,88.7,65.6,58.2,72.1,81.6,75,60,4.2,35.0,30.0,16.1,25.9,127.6,"$2,616",-0.1,2.1,"$20,411",3.4,3.6,"32,921",53.4
111,Micronesia,Asia-Pacific,160,36,50.4,16.5,23.3,25.0,88.2,0.0,99.3,56.2,74.4,82.1,74.8,35,30,5.1,10.0,21.0,25.2,64.0,0.1,$0,1.2,1.9,"$3,550",16.2,1.8,20,18.5
112,Moldova,Europe,85,41,62.5,60.6,29.9,38.7,94.0,71.0,96.5,66.2,39.2,71.5,76.8,55,50,4.1,12.0,12.0,17.7,31.1,2.7,$27,3.6,3.3,"$13,574",5.5,4.8,589,27.3
113,Mongolia,Asia-Pacific,86,14,62.4,48.1,25.9,37.4,89.9,71.5,91.3,61.9,74.4,73.4,74.6,50,50,5.2,10.0,25.0,16.8,30.8,3.2,$47,5.1,4.2,"$12,820",6.0,7.3,"2,443",65.9
114,Montenegro,Europe,80,39,63.4,57.8,56.2,51.0,83.6,35.3,37.2,73.5,78.0,83.4,79.4,75,50,5.3,9.0,9.0,38.4,46.5,0.6,$13,3.6,3.9,"$22,989",14.9,0.4,453,74.8
115,Morocco,Middle East and North Africa,81,9,63.3,67.5,51.2,39.9,68.3,73.0,68.5,72.3,33.2,80.3,70.6,65,70,9.7,38.0,31.0,27.6,30.0,36.5,$327,2.2,3.0,"$7,826",9.0,0.0,"1,599",65.8
116,Mozambique,Sub-Saharan Africa,153,36,51.6,29.5,26.9,23.8,74.8,71.4,62.3,55.2,42.0,77.1,70.8,35,50,7.1,32.0,32.0,21.6,30.9,30.4,$45,2.2,4.0,"$1,334",3.2,2.8,"2,212",109.0
117,Namibia,Sub-Saharan Africa,83,6,62.6,57.1,63.6,47.4,67.5,57.4,53.7,65.6,85.2,77.2,71.2,65,40,6.9,37.0,32.0,29.3,37.7,2.5,$27,-1.4,0.6,"$10,037",20.3,3.7,-17,55.9
118,Nepal,Asia-Pacific,157,35,50.7,38.1,34.1,33.8,83.2,73.2,61.8,61.5,53.6,71.6,57.6,10,30,13.7,25.0,25.0,20.7,29.9,28.6,$94,7.1,5.2,"$3,558",1.4,4.6,185,30.1
119,Netherlands,Europe,16,9,76.8,88.9,72.8,90.6,51.7,47.7,95.3,80.5,60.1,80.4,84.0,90,80,3.0,52.0,25.0,38.8,41.7,17.3,"$1,005",1.8,2.3,"$59,687",3.2,2.7,"84,216",48.3
120,New Zealand,Asia-Pacific,2,2,83.9,91.3,80.5,95.3,70.6,58.1,98.2,89.9,86.3,86.9,90.2,80,80,2.4,33.0,28.0,32.7,37.4,4.9,$209,2.2,3.5,"$43,953",4.1,1.6,"5,427",30.2
121,Nicaragua,Americas,125,23,56.3,27.8,19.0,24.8,77.1,77.5,91.8,53.1,55.0,70.7,68.4,60,50,5.8,30.0,30.0,22.2,27.4,6.5,$35,-3.9,1.2,"$5,631",6.8,5.4,515,41.4
122,Niger,Sub-Saharan Africa,117,19,57.3,38.8,45.7,31.8,77.1,87.1,76.2,52.5,47.4,75.3,61.0,55,40,12.0,35.0,30.0,13.0,20.7,23.3,$35,5.8,5.6,"$1,270",0.5,-2.5,593,42.0
123,Nigeria,Sub-Saharan Africa,105,13,58.7,36.8,38.7,23.5,84.9,95.3,59.9,60.0,84.4,68.0,68.4,45,40,8.3,24.0,30.0,5.7,12.5,201.0,"$1,215",2.2,1.2,"$5,348",8.1,11.4,"3,299",29.4
124,Norway,Europe,28,15,73.4,82.4,86.3,95.8,57.1,25.3,96.6,85.5,57.8,75.4,84.0,75,60,3.0,47.8,22.0,39.0,49.9,5.3,$407,1.2,1.6,"$66,832",3.4,2.2,"4,298",41.3
125,Oman,Middle East and North Africa,71,7,64.6,68.7,66.3,66.0,97.7,39.2,12.2,79.2,61.0,85.8,73.6,65,60,5.7,0.0,15.0,2.6,45.0,5.0,$205,0.5,2.4,"$29,052",2.7,0.1,"3,125",62.6
126,Pakistan,Asia-Pacific,152,34,51.7,44.9,40.7,31.2,73.8,86.0,7.4,60.5,41.2,69.7,64.6,60,40,10.2,35.0,35.0,13.0,21.6,216.6,"$1,202",3.3,4.5,"$4,885",4.5,6.7,"2,218",83.5
127,Panama,Americas,62,10,66.2,54.5,28.1,39.4,85.2,85.2,82.8,72.9,43.7,80.5,77.2,75,70,6.4,25.0,25.0,15.1,22.2,4.2,$112,3.0,4.6,"$32,762",3.9,-0.4,"4,835",46.8
128,Papua New Guinea,Asia-Pacific,103,19,58.9,46.1,50.8,32.7,71.5,88.0,82.0,57.4,70.2,72.1,80.4,25,30,2.3,42.0,30.0,13.6,20.0,8.8,$35,5.0,4.3,"$4,569",2.5,3.8,334,38.4
129,Paraguay,Americas,84,16,62.6,41.6,26.0,32.2,96.2,86.7,91.6,59.6,31.8,73.8,76.4,75,60,6.8,10.0,10.0,13.5,21.1,7.0,$96,0.2,3.2,"$13,210",4.8,2.8,478,23.5
130,Peru,Americas,50,7,67.7,53.3,28.2,36.3,79.4,86.4,91.5,66.2,63.2,86.1,86.4,75,60,1.8,30.0,29.5,16.9,21.3,32.5,$476,2.2,3.2,"$13,380",3.3,2.1,"8,892",26.7
131,Philippines,Asia-Pacific,73,12,64.1,57.0,34.5,40.6,76.8,87.4,94.3,58.2,57.7,68.7,74.2,60,60,5.4,35.0,30.0,14.0,20.5,108.1,"$1,027",5.9,6.4,"$9,277",2.2,2.5,"4,996",38.6
132,Poland,Europe,41,25,69.7,63.3,48.9,65.0,73.9,48.1,94.6,61.6,66.1,80.8,84.0,80,70,3.0,32.0,19.0,35.0,41.6,38.0,"$1,287",4.1,4.2,"$34,218",3.5,2.3,"13,220",46.7
133,Portugal,Europe,52,29,67.5,74.1,68.5,68.2,60.0,42.4,78.2,75.9,44.1,85.0,84.0,70,60,3.0,48.0,21.0,35.4,43.9,10.3,$347,2.2,2.4,"$36,471",6.3,0.3,"8,234",117.6
134,Qatar,Middle East and North Africa,31,3,72.0,68.3,58.0,54.0,97.9,69.2,94.5,74.0,65.9,80.7,81.4,60,60,4.3,0.0,0.0,14.7,32.0,2.8,$359,0.1,1.8,"$96,491",0.1,-0.6,"-2,813",52.3
135,Romania,Europe,43,26,69.5,68.8,63.1,54.6,94.3,69.2,78.9,59.7,63.6,77.7,84.0,70,50,3.0,10.0,16.0,14.6,32.1,19.4,$549,4.1,4.9,"$32,297",4.0,3.8,"5,971",35.2
136,Russia,Europe,92,42,61.5,54.4,42.4,41.7,93.0,66.1,99.6,84.1,55.4,67.3,74.0,30,30,5.5,13.0,20.0,11.4,33.6,144.4,"$4,390",1.3,0.8,"$29,181",4.6,4.5,"31,735",14.0
137,Rwanda,Sub-Saharan Africa,47,2,68.3,68.7,75.2,59.1,79.5,78.5,78.0,62.3,77.4,80.2,61.2,60,40,14.4,30.0,30.0,16.0,26.8,12.6,$31,10.1,7.9,"$2,318",1.0,2.4,420,38.6
138,Saint Lucia,Americas,53,8,67.5,61.5,66.3,44.6,76.9,83.2,86.2,75.7,66.5,83.5,60.6,65,40,12.2,30.0,30.0,22.5,23.7,0.2,$3,1.7,2.3,"$16,089",20.7,0.7,31,65.5
139,Saint Vincent and the Grenadines,Americas,59,9,66.3,48.1,66.3,48.7,74.9,71.6,87.6,74.2,74.0,82.6,57.8,70,40,13.6,30.0,30.0,26.7,30.8,0.1,$1,0.4,1.4,"$12,983",18.9,0.9,113,70.5
140,Samoa,Asia-Pacific,89,16,61.9,48.5,28.2,32.7,78.9,71.1,95.2,75.5,80.8,80.0,66.4,55,30,9.3,27.0,27.0,25.5,31.0,0.2,$1,3.5,2.9,"$6,787",8.4,2.2,1,48.9
141,São Tomé and Príncipe,Sub-Saharan Africa,129,24,55.9,36.8,23.3,39.5,88.4,79.7,74.6,62.8,43.2,67.0,65.2,60,30,9.9,20.0,25.0,11.6,26.0,0.2,$1,1.3,3.2,"$4,128",13.4,8.4,57,95.7
142,Saudi Arabia,Middle East and North Africa,63,5,66.0,68.7,76.7,53.2,99.1,62.9,31.0,83.5,63.3,82.3,75.8,45,50,4.6,2.5,2.5,8.9,35.2,34.3,"$1,901",0.3,1.6,"$48,908",5.9,-1.2,"4,562",22.8
143,Senegal,Sub-Saharan Africa,111,16,58.0,50.3,37.8,43.6,72.4,84.2,72.2,53.5,36.6,79.0,66.4,60,40,9.3,40.0,30.0,16.2,23.0,16.3,$64,5.3,6.4,"$3,536",6.6,1.0,983,64.2
144,Serbia,Europe,54,30,67.2,57.9,50.6,45.0,92.5,49.6,94.6,71.0,67.3,81.1,77.2,70,50,6.4,10.0,15.0,20.7,41.0,6.9,$130,4.2,3.1,"$18,989",12.7,1.9,"4,281",52.0
145,Seychelles,Sub-Saharan Africa,60,4,66.3,65.3,51.6,64.4,76.9,60.9,93.2,67.5,71.3,80.3,79.0,55,30,5.5,15.0,33.0,31.5,36.1,0.1,$3,3.9,4.3,"$30,260",N/A,1.8,126,58.3
