CountryID,Country Name,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Asia-Pacific,146,33,53.0,30.3,25.7,29.1,91.1,76.1,99.9,53.9,59.9,80.8,68.6,10,10,5.7,20.0,20.0,9.3,28.2,38.0,$77,3.0,2.3,"$2,294",11.1,2.3,39,7.3
2,Albania,Europe,66,35,65.2,46.1,22.8,40.6,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70,70,3.6,23.0,15.0,18.6,29.1,2.9,$40,2.2,3.1,"$14,495",12.3,1.4,"1,281",68.8
3,Algeria,Middle East and North Africa,162,13,49.7,34.0,41.6,32.7,67.2,55.4,49.1,63.5,51.3,84.3,57.4,30,30,13.8,35.0,26.0,37.2,38.5,43.1,$669,0.7,2.1,"$11,820",11.7,2.0,"1,382",46.3
4,Angola,Sub-Saharan Africa,140,30,54.2,30.3,22.8,20.4,87.3,86.9,77.9,56.9,59.6,67.5,70.2,30,40,7.4,17.0,30.0,9.2,20.9,31.8,$201,-1.5,-0.9,"$6,930",6.9,17.1,"-4,098",109.8
5,Argentina,Americas,148,26,52.7,46.1,45.7,54.0,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55,60,13.7,35.0,30.0,28.9,39.6,44.9,$912,-2.2,-0.3,"$22,947",9.8,53.5,"6,244",88.7
6,Armenia,Europe,32,18,71.9,57.3,55.3,45.0,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75,70,5.6,23.0,18.0,20.9,25.0,3.0,$33,7.6,4.8,"$14,220",17.0,1.4,254,53.4
7,Australia,Asia-Pacific,3,3,82.4,81.5,90.0,89.8,62.6,58.1,88.7,87.4,84.1,86.7,89.8,80,90,2.6,45.0,30.0,28.5,37.4,25.4,"$1,362",1.8,2.4,"$53,320",5.3,1.6,"36,156",45.0
8,Austria,Europe,25,13,73.9,86.8,83.5,84.8,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90,70,3.0,55.0,25.0,42.2,48.6,8.9,$477,1.6,1.9,"$59,111",4.7,1.5,"4,643",70.8
9,Azerbaijan,Europe,38,23,70.1,67.9,55.8,46.8,88.1,65.2,99.4,80.5,65.9,73.2,68.0,70,60,8.5,25.0,20.0,13.0,34.1,10.0,$187,2.3,0.4,"$15,001",5.5,2.6,"1,504",18.0
10,Bahamas,Americas,70,13,64.6,48.1,45.7,47.5,97.1,87.6,72.7,70.4,70.0,77.0,49.0,50,60,18.0,0.0,0.0,17.0,20.3,0.4,$13,1.8,0.9,"$37,266",10.4,1.3,637,63.3
11,Bahrain,Middle East and North Africa,40,4,69.9,71.5,65.8,64.4,100.0,67.1,0.0,76.7,71.4,82.8,83.6,75,80,5.7,0.0,0.0,1.1,33.1,1.6,$77,1.8,2.8,"$46,892",0.7,1.0,942,103.9
12,Bangladesh,Asia-Pacific,120,25,56.5,38.0,35.4,27.7,84.0,93.8,66.3,55.6,68.8,69.9,63.4,45,30,10.8,30.0,25.0,8.8,14.3,163.0,$839,7.9,7.5,"$4,951",4.2,5.7,"1,597",35.7
13,Barbados,Americas,67,12,65.0,52.7,49.7,50.2,79.3,73.1,79.8,69.7,60.1,77.3,58.4,70,60,13.3,28.5,5.5,35.0,29.9,0.3,$5,-0.1,0.9,"$16,287",10.3,4.1,215,119.5
14,Belarus,Europe,95,43,61.0,58.6,40.4,39.8,92.9,55.5,96.5,75.9,75.7,70.2,76.0,30,20,4.5,13.0,18.0,14.7,38.5,9.5,$195,1.2,0.1,"$19,943",4.6,5.6,"1,293",41.9
15,Belgium,Europe,37,22,70.1,84.0,70.2,81.3,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85,70,3.0,50.0,29.0,44.9,52.1,11.5,$573,1.4,1.7,"$54,545",5.6,1.2,"9,707",99.0
16,Belize,Americas,114,21,57.5,41.8,45.7,36.3,78.7,64.7,68.5,60.0,54.2,80.2,55.0,55,50,17.5,25.0,25.0,29.7,34.3,0.4,$3,0.3,1.4,"$7,295",6.4,0.6,103,96.7
17,Benin,Sub-Saharan Africa,100,10,59.6,42.5,37.0,32.2,68.4,92.0,86.3,54.6,58.5,83.7,60.4,50,50,12.3,45.0,30.0,15.4,16.4,11.8,$41,6.4,4.8,"$3,424",2.2,-0.9,230,39.4
18,Bhutan,Asia-Pacific,109,22,58.3,62.6,45.7,55.0,82.2,71.6,70.2,67.3,79.6,74.3,40.8,20,30,22.1,25.0,30.0,16.0,30.7,0.8,$8,5.3,5.8,"$12,390",2.3,2.6,7,110.0
19,Bolivia,Americas,172,30,42.7,18.7,11.0,25.9,85.3,58.4,13.4,58.4,53.4,71.0,61.6,15,40,9.2,13.0,25.0,26.0,37.3,11.5,$93,2.8,4.1,"$9,086",3.5,1.8,-160,57.5
20,Bosnia and Herzegovina,Europe,82,40,62.9,44.1,33.7,42.4,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65,60,7.9,10.0,10.0,20.4,41.0,3.3,$50,2.7,3.1,"$15,792",18.4,0.7,528,38.0
21,Botswana,Sub-Saharan Africa,51,3,67.6,58.6,50.8,48.8,87.4,68.2,74.8,68.4,68.2,74.1,77.4,65,70,6.3,25.0,22.0,12.2,32.6,2.3,$44,3.0,2.6,"$18,503",18.2,2.8,261,14.5
22,Brazil,Americas,143,24,53.4,55.0,45.5,47.5,70.1,56.5,5.3,58.0,50.7,77.8,64.6,60,50,10.2,27.5,34.0,32.9,38.1,211.0,"$3,481",1.1,-0.6,"$15,259",12.1,3.7,"71,989",89.5
186,Brunei Darussalam,Asia-Pacific,57,11,66.6,61.1,62.3,47.5,92.3,67.6,20.0,83.6,90.9,74.7,84.6,65,50,0.2,0.0,18.5,20.6,32.9,0.4,$37,3.9,0.5,"$64,673",9.1,-0.5,275,2.5
23,Bulgaria,Europe,35,20,70.4,66.2,43.6,46.8,93.9,64.7,99.2,62.9,68.5,85.2,84.0,70,60,3.0,10.0,10.0,20.2,34.3,7.0,$171,3.4,3.6,"$24,561",4.3,2.5,"1,223",20.4
24,Burkina Faso,Sub-Saharan Africa,124,21,56.5,45.1,36.6,34.5,80.9,81.9,60.8,44.8,52.2,74.7,61.0,65,40,9.5,27.5,28.0,19.3,24.6,20.3,$47,5.7,5.7,"$2,280",6.3,-3.2,208,40.0
25,Burma,Asia-Pacific,135,30,55.2,37.2,19.7,32.7,87.2,87.1,81.9,60.0,64.3,72.5,70.0,30,20,5.0,25.0,25.0,5.9,20.7,54.0,$357,6.5,6.5,"$5,355",1.6,8.6,"2,766",38.2
26,Burundi,Sub-Saharan Africa,161,40,49.9,28.0,32.1,27.0,77.1,79.3,32.2,51.8,67.3,74.7,49.8,50,30,15.1,35.0,30.0,12.9,26.3,11.5,$9,1.8,-0.1,$783,1.4,-0.7,1,60.7
27,Cambodia,Asia-Pacific,118,24,57.3,39.9,23.2,17.0,89.1,84.3,98.3,30.9,62.6,75.1,66.6,50,50,9.2,20.0,20.0,17.1,22.9,16.5,$77,7.0,7.1,"$4,571",0.7,2.4,"3,706",28.5
28,Cameroon,Sub-Saharan Africa,144,32,53.4,38.3,27.2,21.0,74.8,89.0,79.9,43.9,49.9,81.2,55.2,30,50,14.9,35.0,33.0,14.4,19.1,25.9,$101,3.7,4.3,"$3,804",3.4,2.5,782,40.9
29,Canada,Americas,9,1,77.9,84.5,73.3,87.9,76.0,49.8,84.2,81.4,72.4,76.1,88.8,80,80,3.1,33.0,15.0,33.0,40.9,37.6,"$1,904",1.6,1.7,"$51,342",5.6,1.9,"50,332",88.6
30,Cabo Verde,Sub-Saharan Africa,77,5,63.8,44.5,47.5,48.7,77.9,70.7,69.7,60.6,55.2,83.3,68.0,80,60,11.0,35.0,24.0,20.1,31.2,0.5,$4,5.5,4.0,"$7,469",12.3,1.1,104,124.2
31,Central African Republic,Sub-Saharan Africa,166,44,48.8,23.2,28.2,22.0,65.3,92.2,95.4,23.3,40.9,74.9,45.2,45,30,17.4,50.0,30.0,8.6,16.1,4.7,$4,3.0,4.1,$984,3.7,2.7,26,47.8
32,Chad,Sub-Saharan Africa,158,38,50.4,27.7,25.0,21.0,44.6,93.9,96.1,25.3,42.9,76.7,52.0,60,40,14.0,60.0,45.0,13.3,14.2,15.9,$32,3.0,-0.2,"$1,645",1.9,-1.0,567,44.2
33,Chile,Americas,19,2,75.2,70.2,68.4,74.5,72.3,80.4,90.4,75.1,62.5,85.5,83.0,70,70,6.0,40.0,27.0,21.1,25.5,19.0,$495,1.1,2.1,"$25,155",7.1,2.3,"11,437",27.9
34,China,Asia-Pacific,107,20,58.4,62.2,71.5,46.4,72.6,67.6,54.8,80.2,64.9,69.8,71.2,20,20,4.4,45.0,25.0,9.4,32.9,1397.7,"$27,307",6.1,6.7,"$16,785",4.3,2.9,"141,225",54.4
35,Colombia,Americas,49,6,68.1,59.8,36.4,49.7,69.7,69.3,78.9,71.0,77.7,78.1,77.0,80,70,6.5,39.0,32.0,22.0,32.0,50.3,$786,3.3,2.4,"$15,644",9.7,3.5,"14,493",52.9
36,Comoros,Sub-Saharan Africa,132,25,55.7,34.0,28.2,23.6,63.5,91.6,97.3,48.5,60.4,79.7,66.2,45,30,6.9,30.0,50.0,15.7,16.7,0.9,$3,1.9,2.9,"$3,209",4.3,3.3,8,23.8
37,"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,165,43,49.0,23.0,18.2,11.5,71.3,96.0,99.5,53.1,40.2,61.7,63.2,30,20,10.9,40.0,35.0,6.6,11.5,86.8,$83,4.4,4.6,"$1,143",4.2,4.8,"1,478",14.7
38,"Congo, Republic of",Sub-Saharan Africa,156,37,50.7,32.2,25.7,23.5,80.4,84.0,81.8,36.6,36.6,86.5,56.4,35,30,11.8,30.0,30.0,12.5,23.1,5.4,$31,-0.9,-0.3,"$3,435",9.5,2.2,"3,366",95.3
39,Costa Rica,Americas,72,14,64.2,64.0,58.1,59.0,79.9,87.7,24.3,66.2,55.5,80.9,75.0,70,50,5.0,25.0,30.0,22.0,20.2,5.0,$92,2.1,3.3,"$20,434",11.9,2.1,"2,536",73.9
40,Côte d'Ivoire,Sub-Saharan Africa,91,7,61.7,42.8,34.9,27.0,77.6,90.4,84.1,60.8,48.9,74.7,73.8,75,50,8.1,36.0,25.0,17.9,17.8,25.7,$158,6.9,7.4,"$5,455",3.3,0.8,"1,009",37.8
41,Croatia,Europe,79,38,63.6,68.4,41.1,51.4,79.0,35.8,89.6,56.2,43.6,78.7,84.0,75,60,3.0,36.0,18.0,22.0,46.3,4.1,$113,2.9,2.9,"$29,973",6.9,0.8,"1,365",72.0
42,Cuba,Americas,176,31,28.1,27.7,10.0,48.7,47.1,0.0,14.6,20.0,20.0,64.6,64.2,10,10,7.9,50.0,30.0,43.5,64.6,11.3,$159,0.5,1.8,"$14,080",1.6,5.6,N/A,51.9
43,Cyprus,Europe,33,19,71.4,78.5,57.9,65.0,80.2,52.1,82.0,76.1,60.5,85.0,84.0,75,60,3.0,35.0,12.5,24.5,40.0,1.2,$37,3.2,4.4,"$41,254",7.3,0.6,"24,248",94.9
44,Czech Republic,Europe,27,14,73.8,76.2,56.8,64.4,79.1,51.4,98.1,68.8,77.1,79.7,84.0,70,80,3.0,22.0,19.0,35.3,40.2,10.7,$413,2.6,3.5,"$42,576",1.9,2.9,"7,577",30.8
45,Denmark,Europe,10,5,77.8,86.7,86.9,93.4,43.7,23.1,98.2,88.8,73.8,84.5,84.0,90,80,3.0,56.0,22.0,44.9,50.6,5.8,$319,2.4,2.5,"$59,830",4.9,0.7,930,30.3
46,Djibouti,Sub-Saharan Africa,126,22,56.2,42.8,28.2,27.9,79.6,80.4,79.4,63.3,49.4,70.4,43.2,60,50,20.9,30.0,25.0,22.7,25.6,1.0,$6,7.5,7.1,"$5,748",10.3,3.3,182,66.5
47,Dominica,Americas,147,25,53.0,51.2,66.3,51.0,70.0,7.4,6.1,68.4,67.0,82.4,55.6,70,40,14.7,35.0,25.0,33.9,55.6,0.1,$1,9.2,0.0,"$12,659",N/A,1.6,33,83.3
48,Dominican Republic,Americas,88,17,62.1,51.2,28.8,34.6,84.6,91.7,84.4,56.4,58.7,75.3,69.4,70,40,7.8,25.0,27.0,13.8,16.7,10.7,$199,5.1,6.1,"$19,182",5.9,1.8,"3,013",53.6
49,Ecuador,Americas,149,27,52.4,39.5,24.7,38.5,77.1,58.5,75.9,50.4,47.9,81.7,59.8,35,40,10.1,35.0,25.0,20.9,37.2,17.4,$204,0.1,0.5,"$11,847",4.0,0.3,966,49.6
50,Egypt,Middle East and North Africa,130,11,55.7,51.2,54.0,37.0,86.9,73.1,6.0,62.7,51.4,64.3,67.0,65,50,9.0,22.5,22.5,17.1,29.9,100.4,"$1,391",5.6,4.7,"$12,251",10.8,13.9,"9,010",83.8
51,El Salvador,Americas,94,18,61.0,39.9,33.5,34.2,77.9,81.0,79.6,52.4,52.2,81.0,70.8,70,60,7.1,30.0,30.0,20.2,25.1,6.5,$56,2.4,2.4,"$9,140",4.1,0.1,662,69.0
52,Equatorial Guinea,Sub-Saharan Africa,163,41,49.2,27.8,15.4,17.0,75.2,90.0,96.1,36.4,34.4,79.4,48.8,40,30,15.6,35.0,35.0,5.9,18.3,1.4,$28,-6.1,-7.1,"$19,327",6.4,0.6,452,43.9
53,Eritrea,Sub-Saharan Africa,173,45,42.3,24.2,15.4,21.0,74.0,64.3,78.1,17.3,69.6,55.0,69.2,0,20,5.4,30.0,30.0,28.2,34.5,3.5,$7,3.8,-1.3,"$1,710",5.1,-16.4,67,265.8
54,Estonia,Europe,8,4,78.2,81.8,80.8,86.4,81.0,54.4,99.6,72.7,57.8,79.7,84.0,90,70,3.0,20.0,20.0,33.2,39.0,1.3,$48,4.3,3.9,"$38,811",5.1,2.3,"3,044",8.4
156,Eswatini,Sub-Saharan Africa,137,27,55.1,48.5,46.1,36.4,78.7,64.3,16.4,61.5,69.5,78.2,71.4,50,40,9.3,33.0,27.5,17.0,34.5,1.1,$12,1.0,1.8,"$9,048",22.1,2.6,130,42.5
55,Ethiopia,Sub-Saharan Africa,151,35,51.7,23.2,33.8,31.5,78.2,91.9,79.6,47.5,57.4,60.6,61.4,35,20,11.8,35.0,30.0,7.5,16.5,112.1,$244,9.0,9.1,"$2,312",2.1,15.8,"2,516",57.6
56,Fiji,Asia-Pacific,87,15,62.2,60.6,40.4,46.8,86.2,71.1,68.4,61.3,77.2,74.9,55.0,55,50,15.0,20.0,20.0,24.2,31.0,0.9,$11,0.5,3.3,"$14,428",4.1,1.9,321,48.8
57,Finland,Europe,17,10,76.1,91.9,82.2,97.2,68.0,14.3,91.4,85.8,50.5,83.3,84.0,85,80,3.0,31.25,20.00,42.7,53.4,5.5,$266,1.0,1.8,"$51,324",6.6,1.1,"8,170",59.7
58,France,Europe,64,34,65.7,82.2,69.2,80.1,50.7,6.3,69.0,80.2,44.8,77.3,84.0,75,70,3.0,45.0,28.0,46.1,55.9,67.1,"$3,062",1.3,1.5,"$49,435",8.4,1.3,"33,965",98.5
59,Gabon,Sub-Saharan Africa,110,15,58.1,24.2,25.5,36.4,77.7,90.8,93.7,54.7,52.9,84.5,56.8,60,40,14.1,35.0,30.0,10.2,17.5,2.2,$40,3.4,2.1,"$15,486",20.0,2.0,"1,553",56.2
60,Gambia,Sub-Saharan Africa,104,12,58.8,41.8,44.3,35.2,76.9,84.1,54.5,56.0,67.4,63.2,66.6,65,50,11.7,35.0,31.0,11.1,23.0,2.3,$6,6.0,4.7,"$2,298",9.1,7.1,32,76.6
61,Georgia,Europe,12,7,77.2,66.9,59.3,64.6,89.1,76.9,94.9,84.9,76.7,76.7,86.0,80,70,2.0,20.0,15.0,21.7,27.8,3.7,$48,5.1,4.2,"$15,637",14.4,4.9,"1,268",41.1
62,Germany,Europe,29,16,72.5,78.8,69.8,81.5,60.4,40.3,92.8,82.4,53.0,77.2,84.0,80,70,3.0,47.5,15.8,38.2,44.6,83.1,"$4,444",0.6,1.7,"$56,052",3.0,1.3,"36,359",59.8
63,Ghana,Sub-Saharan Africa,101,11,59.2,49.3,38.2,32.3,82.8,87.8,31.7,62.9,60.9,71.7,62.4,70,60,11.3,30.0,25.0,14.1,20.2,30.4,$205,6.1,5.2,"$5,637",4.3,7.2,"2,319",63.2
64,Greece,Europe,96,44,60.9,55.5,53.5,53.6,59.9,34.2,80.0,75.8,49.8,80.0,84.0,55,50,3.0,44.0,24.0,38.7,46.8,10.7,$324,1.9,0.9,"$31,399",17.2,0.5,"4,631",179.2
65,Guatemala,Americas,75,15,64.0,43.2,32.6,30.1,91.8,94.8,92.1,61.5,48.5,77.7,75.6,70,50,4.7,7.0,25.0,12.2,13.2,16.6,$153,3.6,3.3,"$8,996",2.5,3.7,998,34.7
66,Guinea,Sub-Saharan Africa,123,20,56.5,32.2,33.4,22.0,69.7,92.5,95.3,47.1,58.6,70.5,66.4,50,40,9.3,40.0,35.0,14.3,15.8,12.8,$33,5.6,7.4,"$2,670",4.3,9.5,45,34.5
67,Guinea-Bissau,Sub-Saharan Africa,139,29,54.9,39.5,50.8,20.2,88.7,88.7,69.6,37.9,61.0,86.7,55.8,30,30,12.1,20.0,25.0,10.3,19.4,1.9,$4,4.6,4.9,"$2,072",2.5,0.2,31,65.0
68,Guyana,Americas,116,22,57.4,44.9,40.4,38.5,64.6,77.3,69.8,58.2,62.1,81.3,66.8,55,30,6.6,33.3,40.0,28.8,27.5,0.8,$7,4.7,3.5,"$10,105",11.9,2.1,"1,713",32.7
69,Haiti,Americas,155,28,50.8,12.6,15.1,22.0,80.2,91.3,92.9,33.0,62.1,59.7,65.4,45,30,7.3,30.0,30.0,13.3,17.0,11.3,$21,-1.2,0.8,"$1,801",13.8,17.3,75,47.7
70,Honduras,Americas,98,19,59.8,45.5,36.0,29.1,82.2,79.3,96.7,48.7,32.0,71.8,71.8,65,60,6.6,25.0,25.0,23.1,26.3,9.7,$51,2.7,3.8,"$5,965",5.4,4.4,498,40.6
72,Hungary,Europe,55,31,67.2,65.6,52.4,48.7,83.6,35.0,83.3,59.9,64.8,78.8,84.0,80,70,3.0,15.0,9.0,36.6,46.6,9.8,$336,4.9,4.1,"$33,979",3.4,3.4,"5,205",66.3
73,Iceland,Europe,11,6,77.4,87.0,72.6,90.6,72.4,46.2,97.6,83.6,62.0,79.4,86.8,80,70,1.6,31.8,20.0,36.7,42.4,0.4,$20,1.9,4.3,"$60,061",2.8,3.0,-241,34.5
74,India,Asia-Pacific,121,26,56.5,59.2,55.9,48.1,78.7,78.5,18.0,76.7,41.3,72.1,69.4,40,40,10.3,30.9,32.4,11.2,26.7,1366.4,"$11,043",4.2,6.7,"$7,034",5.4,4.5,"50,553",71.9
75,Indonesia,Asia-Pacific,56,10,66.9,59.4,48.9,39.1,83.7,91.8,90.7,71.3,49.2,79.0,79.2,50,60,5.4,30.0,25.0,10.2,16.5,270.6,"$3,736",5.0,5.0,"$12,302",4.7,2.8,"23,429",30.4
76,Iran,Middle East and North Africa,168,14,47.2,33.5,28.3,31.8,80.8,90.1,82.8,57.1,50.1,42.1,54.2,5,10,15.4,35.0,25.0,8.4,18.1,82.9,"$1,491",-7.6,0.3,"$12,912",11.4,41.1,"1,508",29.7
78,Ireland,Europe,5,2,81.4,86.0,72.4,82.0,76.6,81.1,93.1,81.5,76.1,84.4,84.0,90,70,3.0,41.0,12.5,22.3,25.1,4.9,$418,5.5,10.2,"$88,241",4.9,0.9,"78,234",58.6
79,Israel,Middle East and North Africa,26,2,73.8,83.6,79.8,76.8,60.0,53.8,79.2,73.9,65.1,84.4,84.2,75,70,2.9,50.0,23.0,31.1,39.2,9.1,$355,3.5,3.4,"$42,194",3.9,0.8,"18,224",61.4
80,Italy,Europe,68,36,64.9,75.7,62.3,63.7,58.1,28.9,73.0,68.1,50.5,84.2,84.0,80,50,3.0,43.0,24.0,42.1,48.7,60.3,"$2,455",0.3,1.0,"$44,197",9.9,0.6,"26,569",134.8
81,Jamaica,Americas,45,5,69.0,60.6,55.1,47.7,79.7,74.4,83.1,77.6,73.4,77.5,69.2,80,50,10.4,25.0,25.0,27.9,29.2,2.9,$28,1.0,1.2,"$10,166",8.0,3.9,665,91.9
82,Japan,Asia-Pacific,23,6,74.1,87.8,75.5,82.0,67.8,57.8,67.5,85.9,79.0,85.1,80.4,60,60,2.3,40.8,23.9,31.4,37.5,126.3,"$5,712",0.7,1.0,"$43,236",2.3,0.5,"14,552",237.4
